Team;Year Founded;NBA wins;year of win,,,,,,,,,,,,,,,,
ATLANTA HAWKS;1949\r\n ATLANTA HAWKS;1\r\n ALANTA HAWKS;1958\r\n,,,,,,,,,,,,,,,,
BOSTON CELTICS;1946;17;1957,1959,1960,1961,1962,1963,1964,1965,1966,1968,1969,1974,1976,1981,1984,1986,2008
CHARLOTTE BOBCATS;2004;0;,,,,,,,,,,,,,,,,
CHICAGO BULLS;1966;6;1991,1992,1993,1996,1997,1998,,,,,,,,,,,
CLEVELAND CAVALIERS;1970;1;2016,,,,,,,,,,,,,,,,
DALLAS MAVERICKS;1980;1;2011,,,,,,,,,,,,,,,,
DENVER NUGGETS;1976;0;,,,,,,,,,,,,,,,,
DETROIT PISTONS;1948;3;1989,1990,2004,,,,,,,,,,,,,,
GOLDEN STATE WARRIORS;1946;6;1947,1956,1975,2015,2017,2018,,,,,,,,,,,
HOUSTON ROCKETS;1967;2;1994,1995,,,,,,,,,,,,,,,
INDIANA PACERS;1976;0;,,,,,,,,,,,,,,,,
LOS ANGELES CLIPPERS;1970;0;,,,,,,,,,,,,,,,,
LOS ANGELES LAKERS;1948;16;1949,1950,1952,1953,1954,1972,1980,1982,1985,1987,1988,2000,2001,2002,2009,2010,
MEMPHIS GRIZZLIES;1995;0;,,,,,,,,,,,,,,,,
MIAMI HEAT;1988;3;2006,2012,2013,,,,,,,,,,,,,,
MILWAUKEE BUCKS;1968;1;1971,,,,,,,,,,,,,,,,
MINNESOTA TIMBERWOLVES;1989;0;,,,,,,,,,,,,,,,,
NEW JERSEY NETS;1976;0;,,,,,,,,,,,,,,,,
NEW ORLEANS/OKLAHOMA CITY HORNETS;1988;0;,,,,,,,,,,,,,,,,
NEW YORK KNICKERBOCKERS;1946;2;1970,1973,,,,,,,,,,,,,,,
ORLANDO MAGIC;1989;0;,,,,,,,,,,,,,,,,
PHILADELPHIA 76ERS;1949;2;1967,1983,,,,,,,,,,,,,,,
PHOENIX SUNS;1968;0;,,,,,,,,,,,,,,,,
PORTLAND TRAILBLAZERS;1970;1;1977,,,,,,,,,,,,,,,,
SACRAMENTO KINGS;1948;;,,,,,,,,,,,,,,,,
SAN ANTONIO SPURS;1976;5;1999,2003,2005,2007,2014,,,,,,,,,,,,
SEATTLE SUPERSONICS;1967;1;1979,,,,,,,,,,,,,,,,
SYRACUSE NATIONALS;1939;1;1955,,,,,,,,,,,,,,,,
TORONTO RAPTORS;1995;1;2019,,,,,,,,,,,,,,,,
UTAH JAZZ;1974;0;,,,,,,,,,,,,,,,,
WASHINGTON WIZARDS;1961;1;1978,,,,,,,,,,,,,,,,
